ID;ACTIVE;NAME;PARENT_CATEGORY;ROOT_CATEGORY;DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;IMAGE_URL;DATE_ADD;DATE_UPD
2662;1;"Original Gifts";Home;0;;;;;original-gifts;;"2016-06-20 11:31:33";"2016-06-23 14:08:59"
2663;1;"Gifts for the Home";"Original Gifts";0;;;;;gifts-home;;"2016-06-20 11:32:19";"2016-07-08 08:34:57"
2664;1;"Kitchen Gifts";"Original Gifts";0;;;;;kitchen-gifts;;"2016-06-20 11:33:35";"2016-07-08 08:27:33"
2666;1;"Sport Gifts";"Original Gifts";0;;;;;sport-gifts;;"2016-06-20 11:34:36";"2016-07-08 08:34:02"
2667;1;"Self Care Gifts";"Original Gifts";0;;;;;self-care-gifts;;"2016-06-20 11:35:04";"2016-07-08 08:29:14"
2669;1;"Gifts for Children";"Original Gifts";0;;;;;gifts-for-children;;"2016-06-20 11:36:15";"2016-07-08 08:36:27"
2671;1;"Original Gadgets";"Original Gifts";0;;;;;original-gadgets;;"2016-06-20 11:37:02";"2016-07-08 08:25:10"
2682;1;"Gifts for Women";"Original Gifts";0;;;;;gifts-for-women;;"2016-07-08 08:40:32";"2016-07-20 13:08:27"
2683;1;"Original Glasses and Jugs";"Original Gifts";0;;;;;original-jugs;;"2016-07-08 08:41:07";"2016-07-20 13:09:18"
2684;1;"Gifts for Babies";"Original Gifts";0;;;;;gifts-for-babies;;"2016-07-08 08:41:10";"2016-07-20 13:07:02"
2685;1;"Original Money Boxes";"Original Gifts";0;;;;;original-money-boxes;;"2016-07-08 08:41:37";"2016-07-20 13:03:55"
2686;1;"Original Mugs";"Original Gifts";0;;;;;original-mugs;;"2016-07-08 08:41:39";"2016-07-20 13:05:51"
2687;1;"Romantic Gifts";"Original Gifts";0;;;;;romantic-gifts;;"2016-07-08 08:42:04";"2016-07-20 13:08:59"
2688;1;"Original Key-rings";"Original Gifts";0;;;;;original-key-rings;;"2016-07-08 08:42:05";"2016-07-20 13:04:30"
2689;1;"Gifts for Birthdays and Celebrations";"Original Gifts";0;;;;;gifts-celebrations;;"2016-07-08 08:43:51";"2016-07-20 13:07:26"
2690;1;"Original Photo Frames";"Original Gifts";0;;;;;original-photo-frames;;"2016-07-08 08:44:06";"2016-07-20 13:04:53"
2691;1;"Gifts for Older People";"Original Gifts";0;;;;;gifts-people;;"2016-07-08 08:44:48";"2016-07-20 13:08:16"
2692;1;"Gifts for Men";"Original Gifts";0;;;;;gifts-for-men;;"2016-07-08 08:45:20";"2016-07-20 13:08:01"
2693;1;"Gifts for Weddings, Communions and Christenings";"Original Gifts";0;;;;;gifts-christenings;;"2016-07-08 08:45:50";"2016-07-20 13:07:14"
2694;1;"Stag and Hen Gifts";"Original Gifts";0;;;;;stag-hen-gifts;;"2016-07-08 08:45:59";"2016-07-20 13:07:38"
2695;1;"Unusual and Fun Gifts";"Original Gifts";0;;;;;unusual-and-fun-gifts;;"2016-07-08 08:46:25";"2016-07-20 13:05:24"
2696;1;"Erotic Gifts";"Original Gifts";0;;;;;erotic-gifts;;"2016-07-08 08:47:00";"2016-07-20 13:06:48"
